Latitude,Longitude,Elevation,Name
-78.1456985294,-83.9369028595,321.67,A000
-78.1457087418,-83.9360617647,321.67,AS11
-78.1455259804,-83.936049183,321.67,AS12
-78.1454263889,-83.9387210317,321.67,AS13
-78.1458940741,-83.9374408333,321.67,AS21
-78.1460074713,-83.936612069,321.67,AS22
-78.1456075163,-83.9347934641,321.67,AS23
-78.1455253472,-83.937427691,321.67,AS31
-78.145633631,-83.9383272817,321.67,AS32
-78.146207567,-83.9374672414,321.67,AS33
