t,power,slowness,back_azi
2020-01-01T01:30:46.005000Z,3438595.97772,0.32,258.0
2020-01-01T01:30:46.015000Z,4214554.74746,0.36,258.0
2020-01-01T01:30:46.025000Z,4480815.40252,0.36,258.0
2020-01-01T01:30:46.035000Z,4685789.10286,0.4,258.0
2020-01-01T01:30:46.045000Z,4624035.16821,0.36,258.0
2020-01-01T01:30:46.055000Z,4662343.04407,0.36,255.0
2020-01-01T01:30:46.065000Z,4639057.77876,0.36,255.0
2020-01-01T01:30:46.075000Z,4779110.49917,0.4,255.0
2020-01-01T01:30:46.085000Z,5301131.19815,0.4,255.0
2020-01-01T01:30:46.095000Z,5468001.49809,0.4,255.0
2020-01-01T01:30:46.105000Z,5838975.06663,0.4,255.0
2020-01-01T01:30:46.115000Z,5658987.87573,0.36,255.0
2020-01-01T01:30:46.125000Z,5909524.92986,0.36,255.0
2020-01-01T01:30:46.135000Z,6052532.05219,0.36,255.0
2020-01-01T01:30:46.145000Z,5978782.17783,0.36,255.0
2020-01-01T01:30:46.155000Z,5877072.60391,0.36,252.0
2020-01-01T01:30:46.165000Z,5806414.88687,0.4,255.0
2020-01-01T01:30:46.175000Z,5457990.87148,0.4,255.0
2020-01-01T01:30:46.185000Z,4357333.54194,0.36,252.0
2020-01-01T01:30:46.195000Z,3340862.70498,0.16,144.0
2020-01-01T01:30:46.205000Z,3725483.01808,0.16,147.0
2020-01-01T01:30:46.215000Z,3590029.29971,0.2,150.0
2020-01-01T01:30:46.225000Z,3462327.64429,0.2,153.0
2020-01-01T01:30:46.235000Z,2934274.28591,0.2,153.0
2020-01-01T01:30:46.245000Z,2687509.06521,0.2,156.0
2020-01-01T01:30:46.255000Z,2673776.27297,0.2,153.0
2020-01-01T01:30:46.265000Z,3392059.88677,0.2,153.0
2020-01-01T01:30:46.275000Z,4416929.75046,0.2,153.0
2020-01-01T01:30:46.285000Z,4408841.48799,0.2,150.0
2020-01-01T01:30:46.295000Z,4370561.9321,0.2,150.0
2020-01-01T01:30:46.305000Z,4399627.09091,0.2,150.0
2020-01-01T01:30:46.315000Z,4354135.31063,0.2,153.0
2020-01-01T01:30:46.325000Z,4373882.18258,0.2,150.0
2020-01-01T01:30:46.335000Z,4548088.46523,0.2,150.0
2020-01-01T01:30:46.345000Z,4380713.63571,0.12,219.0
2020-01-01T01:30:46.355000Z,4345569.20122,0.12,222.0
2020-01-01T01:30:46.365000Z,4474976.25246,0.16,231.0
2020-01-01T01:30:46.375000Z,4387572.49846,0.16,237.0
2020-01-01T01:30:46.385000Z,4061977.47651,0.16,234.0
2020-01-01T01:30:46.395000Z,4222531.40403,0.16,234.0
2020-01-01T01:30:46.405000Z,4224978.57982,0.16,231.0
2020-01-01T01:30:46.415000Z,4516863.64773,0.16,231.0
2020-01-01T01:30:46.425000Z,4556677.72967,0.16,234.0
2020-01-01T01:30:46.435000Z,4377289.4053,0.16,234.0
2020-01-01T01:30:46.445000Z,4587980.89346,0.16,234.0
2020-01-01T01:30:46.455000Z,4549899.04143,0.16,237.0
2020-01-01T01:30:46.465000Z,4240751.84495,0.12,240.0
2020-01-01T01:30:46.475000Z,3947993.84265,0.12,237.0
2020-01-01T01:30:46.485000Z,3768221.63264,0.12,237.0
2020-01-01T01:30:46.495000Z,3539502.28838,0.12,243.0
2020-01-01T01:30:46.505000Z,1875734.76299,0.08,243.0
2020-01-01T01:30:46.515000Z,1234789.02742,0.08,246.0
2020-01-01T01:30:46.525000Z,1155834.55184,0.16,147.0
2020-01-01T01:30:46.535000Z,883491.403591,0.16,147.0
2020-01-01T01:30:46.545000Z,886622.941124,0.44,252.0
2020-01-01T01:30:46.555000Z,743811.136125,0.2,270.0
2020-01-01T01:30:46.565000Z,854237.470396,0.44,51.0
2020-01-01T01:30:46.575000Z,666247.515015,0.4,180.0
2020-01-01T01:30:46.585000Z,712207.930399,0.4,180.0
2020-01-01T01:30:46.595000Z,811156.909925,0.4,180.0
2020-01-01T01:30:46.605000Z,995360.78674,0.4,180.0
2020-01-01T01:30:46.615000Z,952561.698721,0.4,180.0
2020-01-01T01:30:46.625000Z,873005.629462,0.44,177.0
2020-01-01T01:30:46.635000Z,839441.500199,0.44,177.0
2020-01-01T01:30:46.645000Z,833626.556749,0.44,177.0
2020-01-01T01:30:46.655000Z,730308.515564,0.76,15.0
2020-01-01T01:30:46.665000Z,780384.09302,0.48,312.0
2020-01-01T01:30:46.675000Z,689066.377531,0.96,114.0
2020-01-01T01:30:46.685000Z,675078.875584,0.88,312.0
2020-01-01T01:30:46.695000Z,652292.453587,0.96,114.0
2020-01-01T01:30:46.705000Z,748410.122762,0.32,243.0
2020-01-01T01:30:46.715000Z,804484.492582,0.32,243.0
2020-01-01T01:30:46.725000Z,808271.178069,0.32,243.0
2020-01-01T01:30:46.735000Z,728036.14408,0.16,81.0
