t,power,slowness,back_azi
2020-01-01T01:30:46.985000Z,1476941.72655,0.28,144.0
2020-01-01T01:30:46.995000Z,1554353.77846,0.2,144.0
2020-01-01T01:30:47.005000Z,1436702.91778,0.2,144.0
2020-01-01T01:30:47.015000Z,1256749.28832,0.28,147.0
2020-01-01T01:30:47.025000Z,1084339.29861,0.36,150.0
2020-01-01T01:30:47.035000Z,1104091.86206,0.36,147.0
2020-01-01T01:30:47.045000Z,1275248.92884,0.36,147.0
2020-01-01T01:30:47.055000Z,1273978.96183,0.36,144.0
2020-01-01T01:30:47.065000Z,1444172.57731,0.36,147.0
2020-01-01T01:30:47.075000Z,1316898.54983,0.36,147.0
2020-01-01T01:30:47.085000Z,1113526.33353,0.4,321.0
2020-01-01T01:30:47.095000Z,955921.906906,0.2,153.0
2020-01-01T01:30:47.105000Z,1002622.82023,0.2,153.0
2020-01-01T01:30:47.115000Z,1057479.76926,0.16,153.0
2020-01-01T01:30:47.125000Z,1066153.95962,0.44,327.0
2020-01-01T01:30:47.135000Z,946876.689943,0.08,264.0
2020-01-01T01:30:47.145000Z,1014259.38572,0.08,264.0
2020-01-01T01:30:47.155000Z,1007018.83103,0.08,264.0
2020-01-01T01:30:47.165000Z,1044719.32611,0.36,147.0
2020-01-01T01:30:47.175000Z,989059.111811,0.16,183.0
2020-01-01T01:30:47.185000Z,1082802.20199,0.16,186.0
2020-01-01T01:30:47.195000Z,916012.884312,0.16,186.0
2020-01-01T01:30:47.205000Z,850941.13326,0.44,186.0
2020-01-01T01:30:47.215000Z,874325.149604,0.6,300.0
2020-01-01T01:30:47.225000Z,952777.692619,0.16,87.0
2020-01-01T01:30:47.235000Z,902423.939252,0.56,327.0
2020-01-01T01:30:47.245000Z,1096001.21108,0.88,159.0
2020-01-01T01:30:47.255000Z,1183339.3779,0.88,159.0
2020-01-01T01:30:47.265000Z,1030170.96388,0.32,180.0
2020-01-01T01:30:47.275000Z,1084417.76092,0.32,174.0
2020-01-01T01:30:47.285000Z,907153.925977,0.36,171.0
2020-01-01T01:30:47.295000Z,1014811.99482,0.32,174.0
2020-01-01T01:30:47.305000Z,1018370.40706,0.32,177.0
2020-01-01T01:30:47.315000Z,996803.522391,0.6,264.0
2020-01-01T01:30:47.325000Z,1090218.35666,0.6,264.0
2020-01-01T01:30:47.335000Z,1010982.4229,0.6,264.0
